ID	Name	Category	Latitude	Longitude	Address	Rating	Total_Reviews	Location	Region
poi_1769331303170_316	NDB Bank - Ratmalana	atm	6.8272724	79.8692252	No 151 Galle Road, Dehiwala-Mount Lavinia	3.3	29	Mount Lavinia	negombo_tangalle
poi_1769331303170_317	Seylan Bank ATM	atm	6.825321100000001	79.86964809999999	RVG9+4VC, Dehiwala-Mount Lavinia	4.5	4	Mount Lavinia	negombo_tangalle
poi_1769331303170_318	Commercial Bank ATM	atm	6.857804499999999	79.8646764	5 Peter's Lane, Dehiwala-Mount Lavinia	4.5	12	Mount Lavinia	negombo_tangalle
poi_1769331303170_319	Sampath Bank Karagampitiya	atm	6.8499732	79.8734831	No. 182/A Hill Street, Dehiwala-Mount Lavinia	2.6	47	Mount Lavinia	negombo_tangalle
poi_1769331303170_320	HNB ATM	atm	6.84167	79.866824	28 Hotel Road, Dehiwala-Mount Lavinia	3.7	3	Mount Lavinia	negombo_tangalle
poi_1769331303170_321	Nation Trust ATM	atm	6.841532099999998	79.8671746	RVR8+JVF, 269 Galle Road, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331303170_322	DFCC Bank - Mt.Lavinia Branch - ATM	atm	6.840898200000001	79.8673556	295 Galle Road, Dehiwala-Mount Lavinia	1	1	Mount Lavinia	negombo_tangalle
poi_1769331303170_323	DFCC - LIOC ATM/CDM	atm	6.842456	79.8669268	252 Galle Road, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
poi_1769331303170_324	DFCC Bank - Mt.Lavinia	atm	6.840899999999999	79.8673675	295 Galle Road, Dehiwala-Mount Lavinia	3.7	43	Mount Lavinia	negombo_tangalle
poi_1769331303170_325	Bank of Ceylon ATM	atm	6.8357953	79.867183	RVP8+8V7, Dehiwala-Mount Lavinia	4.8	4	Mount Lavinia	negombo_tangalle
poi_1769331305046_326	Nation Trust Bank	atm	6.8415591	79.8671694	269 Galle Road, Dehiwala-Mount Lavinia	2.8	44	Mount Lavinia	negombo_tangalle
poi_1769331305046_327	Sanasa	atm	6.839002499999999	79.8646872	RVQ7+JV3, Dehiwala-Mount Lavinia	0	0	Mount Lavinia	negombo_tangalle
